REGION,TECHNOLOGY,VALUE
GLOBAL,PWRSPVCHLXX,30.0
GLOBAL,PWRSPVCOLXX,30.0
GLOBAL,PWRSPVCRIXX,30.0
GLOBAL,PWRSPVDOMXX,30.0
GLOBAL,PWRSPVECUXX,30.0
GLOBAL,PWRSPVGTMXX,30.0
GLOBAL,PWRSPVHNDXX,30.0
GLOBAL,PWRSPVHTIXX,30.0
GLOBAL,PWRSPVMEXXX,30.0
GLOBAL,PWRSPVNICXX,30.0
GLOBAL,PWRSPVPANXX,30.0
GLOBAL,PWRSPVPERXX,30.0
GLOBAL,PWRSPVPRYXX,30.0
GLOBAL,PWRSPVSLVXX,30.0
GLOBAL,PWRSPVURYXX,30.0
GLOBAL,PWRTRNARGXX,50.0
GLOBAL,PWRTRNBOLXX,50.0
GLOBAL,PWRTRNBRAXX,50.0
GLOBAL,PWRTRNBRBXX,50.0
GLOBAL,PWRTRNCHLXX,50.0
GLOBAL,PWRTRNCOLXX,50.0
GLOBAL,PWRTRNCRIXX,50.0
GLOBAL,PWRTRNDOMXX,50.0
GLOBAL,PWRTRNECUXX,50.0
GLOBAL,PWRTRNGTMXX,50.0
GLOBAL,PWRTRNHNDXX,50.0
GLOBAL,PWRTRNHTIXX,50.0
GLOBAL,PWRTRNMEXXX,50.0
GLOBAL,PWRTRNNICXX,50.0
GLOBAL,PWRTRNPANXX,50.0
GLOBAL,PWRTRNPERXX,50.0
GLOBAL,PWRTRNPRYXX,50.0
GLOBAL,PWRTRNSLVXX,50.0
GLOBAL,PWRTRNURYXX,50.0
GLOBAL,PWRURNARGXX,60.0
GLOBAL,PWRURNBRAXX,60.0
GLOBAL,PWRURNMEXXX,60.0
GLOBAL,PWRWASARGXX,30.0
GLOBAL,PWRWASBOLXX,30.0
GLOBAL,PWRWASBRAXX,30.0
GLOBAL,PWRWASBRBXX,30.0
GLOBAL,PWRWASCHLXX,30.0
GLOBAL,PWRWASCOLXX,30.0
GLOBAL,PWRWASCRIXX,30.0
GLOBAL,PWRWASDOMXX,30.0
GLOBAL,PWRWASECUXX,30.0
GLOBAL,PWRWASGTMXX,30.0
GLOBAL,PWRWASHNDXX,30.0
GLOBAL,PWRWASHTIXX,30.0
GLOBAL,PWRWASMEXXX,30.0
GLOBAL,PWRWASNICXX,30.0
GLOBAL,PWRWASPANXX,30.0
GLOBAL,PWRWASPERXX,30.0
GLOBAL,PWRWASPRYXX,30.0
GLOBAL,PWRWASSLVXX,30.0
GLOBAL,PWRWASURYXX,30.0
GLOBAL,PWRWOFARGXX,30.0
GLOBAL,PWRWOFBOLXX,30.0
GLOBAL,PWRWOFBRAXX,30.0
GLOBAL,PWRWOFBRBXX,30.0
