# THE SWAPPABLE INPUT of the dispatch-floor pipeline. write_floors.py,
# input_comparison_report and test_outputs.py read floors from THIS FILE
# ONLY. Floors the full fossil fleet (relac_io.nonren_floor_techs), on a
# residual+forced basis, 2027-2050 only (2023-2026 frozen). COMMITTED
# scenarios (OPT,VGB) use a flat plan-grounded/historical CF; PERMISSIVE
# scenarios (BAU,INV) start at the committed plan-grounded/historical CF
# and decline after HOLD_UNTIL=2030 to KEEP_WARM=0.05 by 2050. To change
# a CF: edit PLAN_GROUNDED / CF_BY_FUEL_FALLBACK
# in make_candidates.py and re-run it, then re-run write_floors.py.
Scenario,TECHNOLOGY,country,fuel,YEAR,fleet_GW,forced_GW,residual_GW,contracted_CF,cf_source,cf_quality,floor_PJ,profile,status,commissioning_year
BAU,PWRCOABRAXX,BRA,COA,2036,3.086,0.0,3.086,0.155,plan_grounded,grounded,15.0846,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2037,3.086,0.0,3.086,0.1475,plan_grounded,grounded,14.3547,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2038,3.086,0.0,3.086,0.14,plan_grounded,grounded,13.6248,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2039,3.086,0.0,3.086,0.1325,plan_grounded,grounded,12.8949,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2040,3.086,0.0,3.086,0.125,plan_grounded,grounded,12.165,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2041,3.086,0.0,3.086,0.1175,plan_grounded,grounded,11.4351,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2042,3.086,0.0,3.086,0.11,plan_grounded,grounded,10.7052,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2043,3.086,0.0,3.086,0.1025,plan_grounded,grounded,9.9753,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2044,3.086,0.0,3.086,0.095,plan_grounded,grounded,9.2454,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2045,3.086,0.0,3.086,0.0875,plan_grounded,grounded,8.5155,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2046,3.086,0.0,3.086,0.08,plan_grounded,grounded,7.7856,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2047,3.086,0.0,3.086,0.0725,plan_grounded,grounded,7.0557,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2048,3.086,0.0,3.086,0.065,plan_grounded,grounded,6.3258,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2049,3.086,0.0,3.086,0.0575,plan_grounded,grounded,5.5959,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOABRAXX,BRA,COA,2050,3.086,0.0,3.086,0.05,plan_grounded,grounded,4.866,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2027,3.7953,0.0,3.7953,0.35,plan_grounded,proxy,41.891,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2028,3.7953,0.0,3.7953,0.35,plan_grounded,proxy,41.891,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2029,3.7953,0.0,3.7953,0.35,plan_grounded,proxy,41.891,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2030,3.7953,0.0,3.7953,0.35,plan_grounded,proxy,41.891,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2031,3.7953,0.0,3.7953,0.335,plan_grounded,proxy,40.0957,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2032,3.7953,0.0,3.7953,0.32,plan_grounded,proxy,38.3003,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2033,3.7953,0.0,3.7953,0.305,plan_grounded,proxy,36.505,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2034,3.7953,0.0,3.7953,0.29,plan_grounded,proxy,34.7097,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2035,3.7953,0.0,3.7953,0.275,plan_grounded,proxy,32.9144,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2036,3.7953,0.0,3.7953,0.26,plan_grounded,proxy,31.119,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2037,3.7953,0.0,3.7953,0.245,plan_grounded,proxy,29.3237,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2038,3.7953,0.0,3.7953,0.23,plan_grounded,proxy,27.5284,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2039,3.7953,0.0,3.7953,0.215,plan_grounded,proxy,25.733,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2040,3.7953,0.0,3.7953,0.2,plan_grounded,proxy,23.9377,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2041,3.7953,0.0,3.7953,0.185,plan_grounded,proxy,22.1424,PERMISSIVE,CALIBRATED - pending PI sign-off,
