region,lat,long
BGDXX,23.7231,90.4086
BTNXX,27.473,89.639
INDEA,22.495,88.3247
INDNE,26.16,91.77
INDNO,28.67,77.23
INDSO,12.972442,77.580643
INDWE,19.017,72.857
NPLXX,27.7167,85.3166
LKAXX,6.932,79.8578
MDVXX,1.924992,73.399658
