REGION,FUEL,YEAR,VALUE
GLOBAL,ELCINDNO02,2029,2240.57
GLOBAL,ELCINDNO02,2030,2304.75
GLOBAL,ELCINDNO02,2031,2445.12
GLOBAL,ELCINDNO02,2032,2584.15
GLOBAL,ELCINDNO02,2033,2722.59
GLOBAL,ELCINDNO02,2034,2862.69
GLOBAL,ELCINDNO02,2035,3002.82
GLOBAL,ELCINDNO02,2036,3167.14
GLOBAL,ELCINDNO02,2037,3331.72
GLOBAL,ELCINDNO02,2038,3495.6
GLOBAL,ELCINDNO02,2039,3661.16
GLOBAL,ELCINDNO02,2040,3825.7
GLOBAL,ELCINDNO02,2041,4014.42
GLOBAL,ELCINDNO02,2042,4200.14
GLOBAL,ELCINDNO02,2043,4384.46
GLOBAL,ELCINDNO02,2044,4564.84
GLOBAL,ELCINDNO02,2045,4744.94
GLOBAL,ELCINDNO02,2046,4968.31
GLOBAL,ELCINDNO02,2047,5176.61
GLOBAL,ELCINDNO02,2048,5384.83
GLOBAL,ELCINDNO02,2049,5593.11
GLOBAL,ELCINDNO02,2050,5801.69
GLOBAL,ELCINDSO02,2023,1677.48
GLOBAL,ELCINDSO02,2024,1819.57
GLOBAL,ELCINDSO02,2025,2261.9
GLOBAL,ELCINDSO02,2026,2350.89
GLOBAL,ELCINDSO02,2027,2430.09
GLOBAL,ELCINDSO02,2028,2508.94
GLOBAL,ELCINDSO02,2029,2588.21
GLOBAL,ELCINDSO02,2030,2668.04
GLOBAL,ELCINDSO02,2031,2837.62
GLOBAL,ELCINDSO02,2032,3009.7
GLOBAL,ELCINDSO02,2033,3181.67
GLOBAL,ELCINDSO02,2034,3352.73
GLOBAL,ELCINDSO02,2035,3524.68
GLOBAL,ELCINDSO02,2036,3722.05
GLOBAL,ELCINDSO02,2037,3918.08
GLOBAL,ELCINDSO02,2038,4114.15
GLOBAL,ELCINDSO02,2039,4310.15
GLOBAL,ELCINDSO02,2040,4504.27
GLOBAL,ELCINDSO02,2041,4726.24
GLOBAL,ELCINDSO02,2042,4948.9
GLOBAL,ELCINDSO02,2043,5170.39
GLOBAL,ELCINDSO02,2044,5393.21
GLOBAL,ELCINDSO02,2045,5615.87
GLOBAL,ELCINDSO02,2046,5881.34
GLOBAL,ELCINDSO02,2047,6132.32
GLOBAL,ELCINDSO02,2048,6383.02
GLOBAL,ELCINDSO02,2049,6633.32
GLOBAL,ELCINDSO02,2050,6883.89
GLOBAL,ELCINDWE02,2023,1429.56
GLOBAL,ELCINDWE02,2024,1546.72
GLOBAL,ELCINDWE02,2025,1924.8
GLOBAL,ELCINDWE02,2026,1984.31
GLOBAL,ELCINDWE02,2027,2047.52
GLOBAL,ELCINDWE02,2028,2110.93
GLOBAL,ELCINDWE02,2029,2173.93
GLOBAL,ELCINDWE02,2030,2236.94
GLOBAL,ELCINDWE02,2031,2377.13
GLOBAL,ELCINDWE02,2032,2515.72
GLOBAL,ELCINDWE02,2033,2653.12
GLOBAL,ELCINDWE02,2034,2794.64
GLOBAL,ELCINDWE02,2035,2933.03
GLOBAL,ELCINDWE02,2036,3097.73
GLOBAL,ELCINDWE02,2037,3263.16
GLOBAL,ELCINDWE02,2038,3429.97
GLOBAL,ELCINDWE02,2039,3598.18
GLOBAL,ELCINDWE02,2040,3770.82
GLOBAL,ELCINDWE02,2041,3967.13
GLOBAL,ELCINDWE02,2042,4164.53
GLOBAL,ELCINDWE02,2043,4363.59
GLOBAL,ELCINDWE02,2044,4567.55
GLOBAL,ELCINDWE02,2045,4771.66
GLOBAL,ELCINDWE02,2046,4944.69
GLOBAL,ELCINDWE02,2047,5158.53
GLOBAL,ELCINDWE02,2048,5372.85
GLOBAL,ELCINDWE02,2049,5587.59
GLOBAL,ELCINDWE02,2050,5801.92
