REGION,TECHNOLOGY,VALUE
GLOBAL,PWRGEOCOLXX,30.0
GLOBAL,PWRGEOCRIXX,30.0
GLOBAL,PWRGEODOMXX,30.0
GLOBAL,PWRGEOECUXX,30.0
GLOBAL,PWRGEOGTMXX,30.0
GLOBAL,PWRGEOHNDXX,30.0
GLOBAL,PWRGEOHTIXX,30.0
GLOBAL,PWRGEOMEXXX,30.0
GLOBAL,PWRGEONICXX,30.0
GLOBAL,PWRGEOPANXX,30.0
GLOBAL,PWRGEOPERXX,30.0
GLOBAL,PWRGEOPRYXX,30.0
GLOBAL,PWRGEOSLVXX,30.0
GLOBAL,PWRGEOURYXX,30.0
GLOBAL,PWRHYDARGXX,100.0
GLOBAL,PWRHYDBOLXX,100.0
GLOBAL,PWRHYDBRAXX,100.0
GLOBAL,PWRHYDBRBXX,100.0
GLOBAL,PWRHYDCHLXX,100.0
GLOBAL,PWRHYDCOLXX,100.0
GLOBAL,PWRHYDCRIXX,100.0
GLOBAL,PWRHYDDOMXX,100.0
GLOBAL,PWRHYDECUXX,100.0
GLOBAL,PWRHYDGTMXX,100.0
GLOBAL,PWRHYDHNDXX,100.0
GLOBAL,PWRHYDHTIXX,100.0
GLOBAL,PWRHYDMEXXX,100.0
GLOBAL,PWRHYDNICXX,100.0
GLOBAL,PWRHYDPANXX,100.0
GLOBAL,PWRHYDPERXX,100.0
GLOBAL,PWRHYDPRYXX,100.0
GLOBAL,PWRHYDSLVXX,100.0
GLOBAL,PWRHYDURYXX,100.0
GLOBAL,PWRLDSARGXX,60.0
GLOBAL,PWRLDSBOLXX,60.0
GLOBAL,PWRLDSBRAXX,60.0
GLOBAL,PWRLDSBRBXX,60.0
GLOBAL,PWRLDSCHLXX,60.0
GLOBAL,PWRLDSCOLXX,60.0
GLOBAL,PWRLDSCRIXX,60.0
GLOBAL,PWRLDSDOMXX,60.0
GLOBAL,PWRLDSECUXX,60.0
GLOBAL,PWRLDSGTMXX,60.0
GLOBAL,PWRLDSHNDXX,60.0
GLOBAL,PWRLDSHTIXX,60.0
GLOBAL,PWRLDSMEXXX,60.0
GLOBAL,PWRLDSNICXX,60.0
GLOBAL,PWRLDSPANXX,60.0
GLOBAL,PWRLDSPERXX,60.0
GLOBAL,PWRLDSPRYXX,60.0
GLOBAL,PWRLDSSLVXX,60.0
GLOBAL,PWRLDSURYXX,60.0
GLOBAL,PWRNGSARGXX,30.0
GLOBAL,PWRNGSBOLXX,30.0
GLOBAL,PWRNGSBRAXX,30.0
GLOBAL,PWRNGSBRBXX,30.0
GLOBAL,PWRNGSCHLXX,30.0
GLOBAL,PWRNGSCOLXX,30.0
GLOBAL,PWRNGSCRIXX,30.0
GLOBAL,PWRNGSDOMXX,30.0
GLOBAL,PWRNGSECUXX,30.0
GLOBAL,PWRNGSGTMXX,30.0
GLOBAL,PWRNGSHNDXX,30.0
GLOBAL,PWRNGSHTIXX,30.0
GLOBAL,PWRNGSMEXXX,30.0
GLOBAL,PWRNGSNICXX,30.0
GLOBAL,PWRNGSPANXX,30.0
GLOBAL,PWRNGSPERXX,30.0
GLOBAL,PWRNGSPRYXX,30.0
GLOBAL,PWRNGSSLVXX,30.0
GLOBAL,PWRNGSURYXX,30.0
GLOBAL,PWROILARGXX,30.0
GLOBAL,PWROILBOLXX,30.0
GLOBAL,PWROILBRAXX,30.0
GLOBAL,PWROILBRBXX,30.0
GLOBAL,PWROILCHLXX,30.0
GLOBAL,PWROILCOLXX,30.0
GLOBAL,PWROILCRIXX,30.0
GLOBAL,PWROILDOMXX,30.0
GLOBAL,PWROILECUXX,30.0
GLOBAL,PWROILGTMXX,30.0
GLOBAL,PWROILHNDXX,30.0
GLOBAL,PWROILHTIXX,30.0
GLOBAL,PWROILMEXXX,30.0
GLOBAL,PWROILNICXX,30.0
GLOBAL,PWROILPANXX,30.0
GLOBAL,PWROILPERXX,30.0
GLOBAL,PWROILPRYXX,30.0
GLOBAL,PWROILSLVXX,30.0
GLOBAL,PWROILURYXX,30.0
GLOBAL,PWROTHARGXX,30.0
GLOBAL,PWROTHBOLXX,30.0
GLOBAL,PWROTHBRAXX,30.0
GLOBAL,PWROTHBRBXX,30.0
GLOBAL,PWROTHCHLXX,30.0
GLOBAL,PWROTHCOLXX,30.0
GLOBAL,PWROTHCRIXX,30.0
GLOBAL,PWROTHDOMXX,30.0
GLOBAL,PWROTHECUXX,30.0
GLOBAL,PWROTHGTMXX,30.0
GLOBAL,PWROTHHNDXX,30.0
GLOBAL,PWROTHHTIXX,30.0
GLOBAL,PWROTHMEXXX,30.0
GLOBAL,PWROTHNICXX,30.0
GLOBAL,PWROTHPANXX,30.0
GLOBAL,PWROTHPERXX,30.0
GLOBAL,PWROTHPRYXX,30.0
GLOBAL,PWROTHSLVXX,30.0
GLOBAL,PWROTHURYXX,30.0
GLOBAL,PWRPETARGXX,30.0
GLOBAL,PWRPETBOLXX,30.0
GLOBAL,PWRPETBRAXX,30.0
GLOBAL,PWRPETBRBXX,30.0
GLOBAL,PWRPETCHLXX,30.0
GLOBAL,PWRPETCOLXX,30.0
GLOBAL,PWRPETCRIXX,30.0
GLOBAL,PWRPETDOMXX,30.0
GLOBAL,PWRPETECUXX,30.0
GLOBAL,PWRPETGTMXX,30.0
GLOBAL,PWRPETHNDXX,30.0
GLOBAL,PWRPETHTIXX,30.0
GLOBAL,PWRPETMEXXX,30.0
GLOBAL,PWRPETNICXX,30.0
GLOBAL,PWRPETPANXX,30.0
GLOBAL,PWRPETPERXX,30.0
GLOBAL,PWRPETPRYXX,30.0
GLOBAL,PWRPETSLVXX,30.0
GLOBAL,PWRPETURYXX,30.0
GLOBAL,PWRSDSARGXX,30.0
GLOBAL,PWRSDSBOLXX,30.0
GLOBAL,PWRSDSBRAXX,30.0
GLOBAL,PWRSDSBRBXX,30.0
GLOBAL,PWRSDSCHLXX,30.0
GLOBAL,PWRSDSCOLXX,30.0
GLOBAL,PWRSDSCRIXX,30.0
GLOBAL,PWRSDSDOMXX,30.0
GLOBAL,PWRSDSECUXX,30.0
GLOBAL,PWRSDSGTMXX,30.0
GLOBAL,PWRSDSHNDXX,30.0
GLOBAL,PWRSDSHTIXX,30.0
GLOBAL,PWRSDSMEXXX,30.0
GLOBAL,PWRSDSNICXX,30.0
GLOBAL,PWRSDSPANXX,30.0
GLOBAL,PWRSDSPERXX,30.0
GLOBAL,PWRSDSPRYXX,30.0
GLOBAL,PWRSDSSLVXX,30.0
GLOBAL,PWRSDSURYXX,30.0
GLOBAL,PWRSPVARGXX,30.0
GLOBAL,PWRSPVBOLXX,30.0
GLOBAL,PWRSPVBRAXX,30.0
GLOBAL,PWRSPVBRBXX,30.0
GLOBAL,PWRSPVCHLXX,30.0
GLOBAL,PWRSPVCOLXX,30.0
GLOBAL,PWRSPVCRIXX,30.0
GLOBAL,PWRSPVDOMXX,30.0
GLOBAL,PWRSPVECUXX,30.0
GLOBAL,PWRSPVGTMXX,30.0
GLOBAL,PWRSPVHNDXX,30.0
GLOBAL,PWRSPVHTIXX,30.0
GLOBAL,PWRSPVMEXXX,30.0
GLOBAL,PWRSPVNICXX,30.0
GLOBAL,PWRSPVPANXX,30.0
GLOBAL,PWRSPVPERXX,30.0
GLOBAL,PWRSPVPRYXX,30.0
GLOBAL,PWRSPVSLVXX,30.0
GLOBAL,PWRSPVURYXX,30.0
GLOBAL,PWRTRNARGXX,50.0
GLOBAL,PWRTRNBOLXX,50.0
GLOBAL,PWRTRNBRAXX,50.0
GLOBAL,PWRTRNBRBXX,50.0
GLOBAL,PWRTRNCHLXX,50.0
GLOBAL,PWRTRNCOLXX,50.0
GLOBAL,PWRTRNCRIXX,50.0
GLOBAL,PWRTRNDOMXX,50.0
GLOBAL,PWRTRNECUXX,50.0
GLOBAL,PWRTRNGTMXX,50.0
GLOBAL,PWRTRNHNDXX,50.0
GLOBAL,PWRTRNHTIXX,50.0
GLOBAL,PWRTRNMEXXX,50.0
GLOBAL,PWRTRNNICXX,50.0
GLOBAL,PWRTRNPANXX,50.0
GLOBAL,PWRTRNPERXX,50.0
GLOBAL,PWRTRNPRYXX,50.0
GLOBAL,PWRTRNSLVXX,50.0
GLOBAL,PWRTRNURYXX,50.0
GLOBAL,PWRURNARGXX,60.0
GLOBAL,PWRURNBOLXX,60.0
GLOBAL,PWRURNBRAXX,60.0
GLOBAL,PWRURNBRBXX,60.0
GLOBAL,PWRURNCHLXX,60.0
GLOBAL,PWRURNCOLXX,60.0
GLOBAL,PWRURNCRIXX,60.0
GLOBAL,PWRURNDOMXX,60.0
GLOBAL,PWRURNECUXX,60.0
GLOBAL,PWRURNGTMXX,60.0
GLOBAL,PWRURNHNDXX,60.0
GLOBAL,PWRURNHTIXX,60.0
GLOBAL,PWRURNMEXXX,60.0
GLOBAL,PWRURNNICXX,60.0
GLOBAL,PWRURNPANXX,60.0
GLOBAL,PWRURNPERXX,60.0
GLOBAL,PWRURNPRYXX,60.0
GLOBAL,PWRURNSLVXX,60.0
GLOBAL,PWRURNURYXX,60.0
GLOBAL,PWRWASARGXX,30.0
GLOBAL,PWRWASBOLXX,30.0
GLOBAL,PWRWASBRAXX,30.0
GLOBAL,PWRWASBRBXX,30.0
GLOBAL,PWRWASCHLXX,30.0
GLOBAL,PWRWASCOLXX,30.0
GLOBAL,PWRWASCRIXX,30.0
GLOBAL,PWRWASDOMXX,30.0
GLOBAL,PWRWASECUXX,30.0
GLOBAL,PWRWASGTMXX,30.0
GLOBAL,PWRWASHNDXX,30.0
GLOBAL,PWRWASHTIXX,30.0
GLOBAL,PWRWASMEXXX,30.0
GLOBAL,PWRWASNICXX,30.0
GLOBAL,PWRWASPANXX,30.0
GLOBAL,PWRWASPERXX,30.0
GLOBAL,PWRWASPRYXX,30.0
GLOBAL,PWRWASSLVXX,30.0
GLOBAL,PWRWASURYXX,30.0
GLOBAL,PWRWAVARGXX,20.0
GLOBAL,PWRWAVBOLXX,20.0
GLOBAL,PWRWAVBRAXX,20.0
GLOBAL,PWRWAVBRBXX,20.0
GLOBAL,PWRWAVCHLXX,20.0
GLOBAL,PWRWAVCOLXX,20.0
GLOBAL,PWRWAVCRIXX,20.0
GLOBAL,PWRWAVDOMXX,20.0
GLOBAL,PWRWAVECUXX,20.0
GLOBAL,PWRWAVGTMXX,20.0
GLOBAL,PWRWAVHNDXX,20.0
GLOBAL,PWRWAVHTIXX,20.0
GLOBAL,PWRWAVMEXXX,20.0
GLOBAL,PWRWAVNICXX,20.0
GLOBAL,PWRWAVPANXX,20.0
GLOBAL,PWRWAVPERXX,20.0
GLOBAL,PWRWAVPRYXX,20.0
GLOBAL,PWRWAVSLVXX,20.0
GLOBAL,PWRWAVURYXX,20.0
GLOBAL,PWRWOFARGXX,30.0
GLOBAL,PWRWOFBOLXX,30.0
GLOBAL,PWRWOFBRAXX,30.0
GLOBAL,PWRWOFBRBXX,30.0
GLOBAL,PWRWOFCHLXX,30.0
GLOBAL,PWRWOFCOLXX,30.0
GLOBAL,PWRWOFCRIXX,30.0
GLOBAL,PWRWOFDOMXX,30.0
GLOBAL,PWRWOFECUXX,30.0
GLOBAL,PWRWOFGTMXX,30.0
GLOBAL,PWRWOFHNDXX,30.0
GLOBAL,PWRWOFHTIXX,30.0
GLOBAL,PWRWOFMEXXX,30.0
GLOBAL,PWRWOFNICXX,30.0
GLOBAL,PWRWOFPANXX,30.0
GLOBAL,PWRWOFPERXX,30.0
GLOBAL,PWRWOFPRYXX,30.0
GLOBAL,PWRWOFSLVXX,30.0
GLOBAL,PWRWOFURYXX,30.0
GLOBAL,PWRWONARGXX,30.0
GLOBAL,PWRWONBOLXX,30.0
GLOBAL,PWRWONBRAXX,30.0
GLOBAL,PWRWONBRBXX,30.0
GLOBAL,PWRWONCHLXX,30.0
GLOBAL,PWRWONCOLXX,30.0
GLOBAL,PWRWONCRIXX,30.0
GLOBAL,PWRWONDOMXX,30.0
GLOBAL,PWRWONECUXX,30.0
GLOBAL,PWRWONGTMXX,30.0
GLOBAL,PWRWONHNDXX,30.0
GLOBAL,PWRWONHTIXX,30.0
GLOBAL,PWRWONMEXXX,30.0
GLOBAL,PWRWONNICXX,30.0
GLOBAL,PWRWONPANXX,30.0
GLOBAL,PWRWONPERXX,30.0
GLOBAL,PWRWONPRYXX,30.0
GLOBAL,PWRWONSLVXX,30.0
GLOBAL,PWRWONURYXX,30.0
GLOBAL,RNWNLIARGXX,50.0
GLOBAL,RNWNLIBOLXX,50.0
GLOBAL,RNWNLIBRAXX,50.0
GLOBAL,RNWNLIBRBXX,50.0
GLOBAL,RNWNLICHLXX,50.0
GLOBAL,RNWNLICOLXX,50.0
GLOBAL,RNWNLICRIXX,50.0
GLOBAL,RNWNLIDOMXX,50.0
GLOBAL,RNWNLIECUXX,50.0
GLOBAL,RNWNLIGTMXX,50.0
GLOBAL,RNWNLIHNDXX,50.0
GLOBAL,RNWNLIHTIXX,50.0
GLOBAL,RNWNLIMEXXX,50.0
GLOBAL,RNWNLINICXX,50.0
GLOBAL,RNWNLIPANXX,50.0
GLOBAL,RNWNLIPERXX,50.0
GLOBAL,RNWNLIPRYXX,50.0
GLOBAL,RNWNLISLVXX,50.0
GLOBAL,RNWNLIURYXX,50.0
GLOBAL,RNWRPOARGXX,50.0
GLOBAL,RNWRPOBOLXX,50.0
GLOBAL,RNWRPOBRAXX,50.0
GLOBAL,RNWRPOBRBXX,50.0
GLOBAL,RNWRPOCHLXX,50.0
GLOBAL,RNWRPOCOLXX,50.0
GLOBAL,RNWRPOCRIXX,50.0
GLOBAL,RNWRPODOMXX,50.0
GLOBAL,RNWRPOECUXX,50.0
