# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
OPT,GLOBAL,PWRNGSMEXXX,2040,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2041,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2042,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2043,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2044,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2045,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2046,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2047,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2048,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2049,90.4137,new
OPT,GLOBAL,PWRNGSMEXXX,2050,90.4137,new
OPT,GLOBAL,PWRNGSPANXX,2028,3.1536,new
OPT,GLOBAL,PWRNGSPANXX,2029,3.1536,new
OPT,GLOBAL,PWRNGSPANXX,2030,3.1536,new
OPT,GLOBAL,PWRNGSPANXX,2031,3.1536,new
OPT,GLOBAL,PWRNGSPANXX,2032,7.0641,new
OPT,GLOBAL,PWRNGSPANXX,2033,7.0641,new
OPT,GLOBAL,PWRNGSPANXX,2034,10.2177,new
OPT,GLOBAL,PWRNGSPANXX,2035,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2036,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2037,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2038,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2039,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2040,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2041,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2042,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2043,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2044,10.8484,new
